# Tc Rp/Rs a/Rs F0 sigma
2.751139770257982065e-03 1.071057929420143190e-02 3.172526827903925817e+00 1.000002985525344057e+00 3.593510190987507069e-05
1.536043562237021654e-03 1.123567719279224865e-02 3.510631391374060772e+00 9.999956985476385896e-01 3.282247985640738153e-05
3.511758158878032499e-03 1.140493440127596236e-02 3.262365251185654902e+00 1.000012519254763976e+00 3.277626780680547181e-05
1.913853260313340410e-03 1.224192777647086644e-02 3.557599103119139627e+00 9.999926295700229950e-01 3.757348464022470142e-05
2.861492069798361737e-03 1.224002134990233651e-02 4.013154334123912648e+00 9.999865942846918321e-01 3.456248147643559008e-05
1.812218490313578789e-04 1.153794404673064850e-02 3.379620662719874602e+00 9.999875945288110302e-01 4.801967192878363186e-05
3.365566335134788367e-03 1.305929491328717412e-02 4.122346092822321673e+00 9.999975226900674752e-01 4.560408886893582318e-05
4.323434568076593709e-04 1.185967248274463239e-02 4.115756853640682777e+00 9.999888717232138236e-01 3.843999755296196940e-05
-2.195986262567214964e-04 1.162158982862501917e-02 3.778232040173417960e+00 1.000002314108615620e+00 3.918668501891016745e-05
-1.873104018024044498e-03 1.165852460237698854e-02 3.292459303537517812e+00 1.000005401244857373e+00 3.519677038251552479e-05
4.062282255375866680e-03 1.104838378399422907e-02 3.590859106129185463e+00 9.999854367222974494e-01 3.877663707929011579e-05
3.528603380957860691e-03 1.170319595440042111e-02 3.633117178313915119e+00 9.999935685296359456e-01 5.318145327779010348e-05
2.571657703027453723e-03 1.079827447026217475e-02 3.558712605809528640e+00 9.999897886403917857e-01 4.613941335638296274e-05
8.242474843475997015e-03 1.207211268992128446e-02 3.744340679329996036e+00 1.000009406321809013e+00 4.699449841974008221e-05
1.195603641945378742e-03 1.291690475831339460e-02 3.665229130792967638e+00 1.000013889038545933e+00 3.704359491564097862e-05
3.049857988134278830e-03 1.258693151644947952e-02 4.082924699448469141e+00 9.999927421923417992e-01 3.236195082284070649e-05
2.378079582331119046e-03 1.066640578622145633e-02 3.640856517223306277e+00 9.999979250252812868e-01 3.918797668009095861e-05
3.579481278529056398e-03 1.202230789197426125e-02 3.838990844019591009e+00 9.999847060133787435e-01 5.095816281070360130e-05
3.676536447296402388e-04 1.233995086195429497e-02 3.841546572446401075e+00 1.000008955702961888e+00 3.448598286545669881e-05
4.741516801019224348e-03 1.353108177598926973e-02 3.840594855099961347e+00 1.000015780659360365e+00 4.442462326157092079e-05
2.324536559356570053e-03 1.205217740025799414e-02 3.260914407541765758e+00 1.000003843190812480e+00 3.012441363464954050e-05
4.171415997752843385e-04 1.237690958875222597e-02 4.096089100803705030e+00 9.999957142123226950e-01 4.251298844476185385e-05
4.452598342053797065e-03 1.140710481543554498e-02 3.558018741097422222e+00 9.999957530967257258e-01 5.075598665093074730e-05
4.566216909912962363e-04 1.214857731630576698e-02 4.111107592259735100e+00 9.999953392390749096e-01 3.618164610116051994e-05
9.689029602400582586e-04 1.232106756038738732e-02 4.166548796959505196e+00 1.000004629183351534e+00 4.288023067961020240e-05
4.290086390096682634e-03 1.130633630219416569e-02 3.454206726090094826e+00 9.999864352419824964e-01 4.505053838911697047e-05
4.633265374083921084e-03 1.089287883706348964e-02 3.944696352907808290e+00 9.999979734326913672e-01 3.585991387896222781e-05
