# Tc delta Tdur F0 sigma
3.451238385592775293e-03 1.518279233212350564e-04 6.819453391801384712e-02 9.999861219858822148e-01 4.393849693170171210e-05
3.019050170820769541e-03 1.672479002696377075e-04 6.815550036391007649e-02 1.000011391972702723e+00 4.074568831603217939e-05
7.706230195385056769e-03 1.444072010470654583e-04 7.421472130363755693e-02 1.000006171073069661e+00 4.105464849642220831e-05
6.431697946330874882e-03 1.788452296841121561e-04 6.796769970129866445e-02 1.000013263842561617e+00 4.244521742839620125e-05
6.123440289801232450e-03 1.654409959497918370e-04 7.613944153829790840e-02 1.000007868063880423e+00 3.874732523941821550e-05
5.009501772200254666e-03 1.512919906005206507e-04 7.068414528922281614e-02 1.000012871202017095e+00 4.435739115794657105e-05
2.863844498183526488e-03 1.515264926013770871e-04 7.116451644496650519e-02 1.000006447561472944e+00 3.958136361794718680e-05
3.096067383083850322e-03 1.579326901897647206e-04 7.380791201313653682e-02 9.999979735955104587e-01 4.574420309442702603e-05
2.246788009295827560e-03 1.554273021156388494e-04 7.360409328006178864e-02 1.000003304308216379e+00 3.645572901073316439e-05
3.756894859726932212e-03 1.510271602758966154e-04 6.969583625914935188e-02 9.999957073792871132e-01 2.927527974206005579e-05
5.172093136530435398e-03 1.361810095226851606e-04 6.714766420722534379e-02 9.999944329661579756e-01 4.744870728966680710e-05
2.772564791719445143e-03 1.678157038266725942e-04 6.598860901504111087e-02 1.000010909638517687e+00 3.930923315521246865e-05
6.257657348396179764e-03 1.688375361950465302e-04 6.646842302223185395e-02 1.000000569476841239e+00 5.088015718349857177e-05
4.838055153853486334e-03 1.538740142717403626e-04 6.503892632800781226e-02 9.999972028995345319e-01 3.661106570624329489e-05
3.246656559545035847e-03 1.362907353823058154e-04 7.013975321843629596e-02 9.999823984993835291e-01 4.043863817981860304e-05
4.294198142512486993e-03 1.530572432077250181e-04 6.254512822583341292e-02 1.000000159784537379e+00 4.507778040110939192e-05
6.349637186269650735e-03 1.504850109174891959e-04 7.174975443765713168e-02 9.999989624998504301e-01 4.140260636446131492e-05
4.397664799285251613e-03 1.681299426077159914e-04 6.672659255510131338e-02 1.000011529116658249e+00 4.595184137798302650e-05
3.195183559682172880e-03 1.423410109334379231e-04 6.605831076208788788e-02 9.999861057444774382e-01 4.099163350365794633e-05
2.689529458365938486e-03 1.642169567337585295e-04 7.114251320950826241e-02 1.000000632081421426e+00 4.029803437503945575e-05
4.521937833747761981e-03 1.522679345683472551e-04 7.163736690963803944e-02 9.999872477513673807e-01 3.424275407713098723e-05
2.618536464035918498e-03 1.522972116392252919e-04 6.886203608325562608e-02 1.000004647363795351e+00 3.585386551333989615e-05
5.606076123111175535e-03 1.846679714210002659e-04 6.469184291929860886e-02 1.000010484850478942e+00 4.155721055867321454e-05
3.501655776550580135e-03 1.729177588755071370e-04 6.645691425191092849e-02 9.999946446819845125e-01 4.247721669546629901e-05
5.406219797702005447e-03 1.348104931530776378e-04 6.690170894282901348e-02 9.999970308523844498e-01 4.368280126036731364e-05
2.605084842217456065e-03 1.642674868517602456e-04 7.437962636695033547e-02 1.000002691396426835e+00 3.938966249254556871e-05
